feature,type
AgeTemp_F,numeric
AgeTime_hr,numeric
HeatTreatSequence,numeric
Reaged,numeric
Mean_OD_in,numeric
Mean_ID_in,numeric
MeanNetArea_in2,numeric
Mean_HRC,numeric
SpecimenCount,numeric
C,numeric
Mn,numeric
Si,numeric
P,numeric
S,numeric
Ni,numeric
Cr,numeric
Mo,numeric
Cu,numeric
RawDiameter,numeric
SolutionTemp_F,numeric
SolutionTime_hr,numeric
CertAgeTemp_F,numeric
CertAgeTime_hr,numeric
SolutionHard_HBW,numeric
Cert_UTS_ksi,numeric
Cert_Yield_ksi,numeric
Cert_Elong_pct,numeric
Cert_RA_pct,numeric
TestStage,categorical
